proba_0,proba_1,subgroup_1,label
0.1444156178040511,0.8555843821959489,A,0
0.8552048445812981,0.1447951554187019,A,0
0.2569696048872897,0.7430303951127103,A,0
0.39931305655530125,0.6006869434446988,A,1
0.8186139853874719,0.18138601461252818,A,0
0.018179289966233525,0.9818207100337665,A,1
0.7746486464828648,0.22535135351713526,A,1
0.48033976760964314,0.5196602323903569,A,0
0.5002597505184301,0.4997402494815699,A,0
0.4156711895449363,0.5843288104550637,A,0
0.16655697776831224,0.8334430222316878,A,1
0.28472944311955783,0.7152705568804422,A,1
0.8219071986154305,0.17809280138456957,A,0
0.9568454634712694,0.04315453652873063,A,0
0.5676369639541903,0.4323630360458097,A,0
0.3496901207960682,0.6503098792039318,A,1
0.8144996480394153,0.18550035196058473,A,0
0.0331962119834317,0.9668037880165683,A,1
0.6309083101310902,0.36909168986890983,A,0
0.07713525577933267,0.9228647442206673,A,1
0.5819319713542909,0.41806802864570913,A,0
0.979134678092371,0.020865321907629058,A,0
0.44961838940779464,0.5503816105922054,A,1
0.4404752640944526,0.5595247359055474,A,1
0.7274511044389209,0.27254889556107903,A,1
0.43386897844659045,0.5661310215534096,A,1
0.5382524454926721,0.46174755450732785,A,0
0.009660532260691634,0.9903394677393084,A,1
0.0923976158816966,0.9076023841183034,A,1
0.896772002067452,0.10322799793254796,A,0
0.9884472935128107,0.011552706487189361,A,0
0.5708408870924792,0.42915911290752085,A,1
0.9992642975531607,0.000735702446839306,A,0
0.07536484522092257,0.9246351547790774,A,1
0.9538033193524575,0.046196680647542496,A,0
0.8249381105416125,0.17506188945838747,A,0
0.32986230096010194,0.6701376990398981,A,1
0.01465839910428035,0.9853416008957196,A,1
0.6305867323631,0.36941326763689997,A,1
0.8211190059299389,0.17888099407006108,A,1
0.5762320630302994,0.4237679369697006,A,1
0.8744680640611318,0.1255319359388682,A,0
0.6703393893211145,0.3296606106788856,A,0
0.627943094415001,0.37205690558499904,A,0
0.6043538096837338,0.3956461903162662,A,1
0.8084905513072059,0.19150944869279404,A,0
0.16864263637928323,0.8313573636207168,A,0
0.5556741072564761,0.4443258927435239,A,1
0.9591612600968618,0.040838739903138195,A,0
0.7267864832134316,0.27321351678656836,A,0
0.44830793377460354,0.5516920662253965,A,0
0.9999926029479488,7.397052051260636e-06,A,0
0.049970849094643,0.950029150905357,A,1
0.7596642640344712,0.24033573596552882,A,0
0.8276431682618428,0.17235683173815725,A,0
0.19278875547102836,0.8072112445289716,A,1
0.04629321496743233,0.9537067850325677,A,0
0.006469638608118111,0.9935303613918819,A,1
0.18568229925582946,0.8143177007441705,A,1
0.5963706830082733,0.4036293169917267,A,1
0.9100555853255459,0.08994441467445413,A,0
0.7307356193097596,0.26926438069024045,A,1
0.004269657514857306,0.9957303424851427,A,1
0.9568067814402387,0.04319321855976128,A,0
