proba_0,proba_1,label
1.444156178040510996e-01,8.555843821959489004e-01,0.000000000000000000e+00
8.552048445812980848e-01,1.447951554187018874e-01,0.000000000000000000e+00
2.569696048872897043e-01,7.430303951127102957e-01,0.000000000000000000e+00
3.993130565553012490e-01,6.006869434446987510e-01,1.000000000000000000e+00
8.186139853874718764e-01,1.813860146125281791e-01,0.000000000000000000e+00
1.817928996623352500e-02,9.818207100337664750e-01,1.000000000000000000e+00
7.746486464828648000e-01,2.253513535171352555e-01,1.000000000000000000e+00
4.803397676096431423e-01,5.196602323903568577e-01,0.000000000000000000e+00
5.002597505184300797e-01,4.997402494815699203e-01,0.000000000000000000e+00
4.156711895449363148e-01,5.843288104550636852e-01,0.000000000000000000e+00
1.665569777683122421e-01,8.334430222316877579e-01,1.000000000000000000e+00
2.847294431195578346e-01,7.152705568804421654e-01,1.000000000000000000e+00
8.219071986154304899e-01,1.780928013845695657e-01,0.000000000000000000e+00
9.568454634712694196e-01,4.315453652873062901e-02,0.000000000000000000e+00
5.676369639541902767e-01,4.323630360458097233e-01,0.000000000000000000e+00
3.496901207960682045e-01,6.503098792039317955e-01,1.000000000000000000e+00
8.144996480394153249e-01,1.855003519605847306e-01,0.000000000000000000e+00
3.319621198343170043e-02,9.668037880165682996e-01,1.000000000000000000e+00
6.309083101310901665e-01,3.690916898689098335e-01,0.000000000000000000e+00
7.713525577933266764e-02,9.228647442206673324e-01,1.000000000000000000e+00
5.819319713542908667e-01,4.180680286457091333e-01,0.000000000000000000e+00
9.791346780923709803e-01,2.086532190762905789e-02,0.000000000000000000e+00
4.496183894077946386e-01,5.503816105922053614e-01,1.000000000000000000e+00
4.404752640944525899e-01,5.595247359055474101e-01,1.000000000000000000e+00
7.274511044389209147e-01,2.725488955610790298e-01,1.000000000000000000e+00
4.338689784465904475e-01,5.661310215534095525e-01,1.000000000000000000e+00
5.382524454926721491e-01,4.617475545073278509e-01,0.000000000000000000e+00
9.660532260691634399e-03,9.903394677393083656e-01,1.000000000000000000e+00
9.239761588169659312e-02,9.076023841183034069e-01,1.000000000000000000e+00
8.967720020674520010e-01,1.032279979325479574e-01,0.000000000000000000e+00
9.884472935128106874e-01,1.155270648718936116e-02,0.000000000000000000e+00
5.708408870924791545e-01,4.291591129075208455e-01,1.000000000000000000e+00
9.992642975531607075e-01,7.357024468393059784e-04,0.000000000000000000e+00
7.536484522092257166e-02,9.246351547790774283e-01,1.000000000000000000e+00
9.538033193524575459e-01,4.619668064754249570e-02,0.000000000000000000e+00
8.249381105416124793e-01,1.750618894583874652e-01,0.000000000000000000e+00
3.298623009601019396e-01,6.701376990398980604e-01,1.000000000000000000e+00
1.465839910428035076e-02,9.853416008957196492e-01,1.000000000000000000e+00
6.305867323631000332e-01,3.694132676368999668e-01,1.000000000000000000e+00
8.211190059299389166e-01,1.788809940700610834e-01,1.000000000000000000e+00
5.762320630302993907e-01,4.237679369697006093e-01,1.000000000000000000e+00
8.744680640611317557e-01,1.255319359388681888e-01,0.000000000000000000e+00
6.703393893211144761e-01,3.296606106788855794e-01,0.000000000000000000e+00
6.279430944150009575e-01,3.720569055849990425e-01,0.000000000000000000e+00
6.043538096837337559e-01,3.956461903162661886e-01,1.000000000000000000e+00
8.084905513072059291e-01,1.915094486927940431e-01,0.000000000000000000e+00
1.686426363792832284e-01,8.313573636207167716e-01,0.000000000000000000e+00
5.556741072564761463e-01,4.443258927435239092e-01,1.000000000000000000e+00
9.591612600968617564e-01,4.083873990313819508e-02,0.000000000000000000e+00
7.267864832134316444e-01,2.732135167865683556e-01,0.000000000000000000e+00
4.483079337746035398e-01,5.516920662253964602e-01,0.000000000000000000e+00
9.999926029479487832e-01,7.397052051260635957e-06,0.000000000000000000e+00
4.997084909464299951e-02,9.500291509053570005e-01,1.000000000000000000e+00
7.596642640344711817e-01,2.403357359655288183e-01,0.000000000000000000e+00
8.276431682618428098e-01,1.723568317381572457e-01,0.000000000000000000e+00
1.927887554710283613e-01,8.072112445289716387e-01,1.000000000000000000e+00
4.629321496743232789e-02,9.537067850325676721e-01,0.000000000000000000e+00
6.469638608118111200e-03,9.935303613918818888e-01,1.000000000000000000e+00
1.856822992558294638e-01,8.143177007441705362e-01,1.000000000000000000e+00
5.963706830082733390e-01,4.036293169917267165e-01,1.000000000000000000e+00
9.100555853255458683e-01,8.994441467445413174e-02,0.000000000000000000e+00
7.307356193097596098e-01,2.692643806902404457e-01,1.000000000000000000e+00
4.269657514857305713e-03,9.957303424851426943e-01,1.000000000000000000e+00
9.568067814402386739e-01,4.319321855976127750e-02,0.000000000000000000e+00
5.335757606647522078e-01,4.664242393352477367e-01,0.000000000000000000e+00
2.727194100576635361e-02,9.727280589942336464e-01,1.000000000000000000e+00
2.856604947728907939e-01,7.143395052271092061e-01,1.000000000000000000e+00
7.529831645893337866e-01,2.470168354106662134e-01,0.000000000000000000e+00
2.203425220323718126e-02,9.779657477967628187e-01,1.000000000000000000e+00
8.833548866901153040e-01,1.166451133098846960e-01,0.000000000000000000e+00
3.689843732498478968e-01,6.310156267501521032e-01,0.000000000000000000e+00
1.096672515669383507e-02,9.890332748433061649e-01,1.000000000000000000e+00
1.959467263021852368e-02,9.804053273697814763e-01,1.000000000000000000e+00
7.412457705038397737e-01,2.587542294961602263e-01,0.000000000000000000e+00
5.302364646995190167e-01,4.697635353004809278e-01,1.000000000000000000e+00
